Name,Url,"Fork source","Creation date","Last update","Last version",Omeka.org,"Omeka min","Omeka target",Author,License,Description,Tags,Link,"Support link","Ini path","Last released zip"
Avantgarde,https://github.com/athenachrista/avantgarde,,2015-06-10T23:50:06Z,2018-11-13T01:20:21Z,1,,2.2,,"Edward M. @ Emedara Studio",GPLv3,"Modern responsive theme based on Berlin.",,,https://github.com/Edward-M/omeka-avantgarde/issues,,
AvantTheme,https://github.com/gsoules/AvantTheme,,2018-02-23T13:42:54Z,2021-10-24T16:20:01Z,1.1,,2.5,2.6,"George Soules, AvantLogic",GPLv3,"A theme designed to work well with AvantSearch and AvantRelationships. Replaces the Omeka search box with controls for AvantSearch. Also supports image zooming using OpenSeadragon",,,https://github.com/gsoules/avant,,https://github.com/gsoules/AvantTheme/releases/download/v2.0.0/AvantTheme-v2.0.0.zip
BADAC,https://github.com/badac/BADAC,,2017-10-10T20:00:02Z,2018-10-23T07:18:32Z,2.3.1,,2.3,,"Andrés Pardo Rodríguez BADAC",GPLv3,"BADACresponsive theme based on Berlin.",,,http://omeka.org/forums/forum/themes-and-public-display,,
bannerstone,https://github.com/fitnycdigitalinitiatives/bannerstone,,2018-02-14T22:08:35Z,2019-12-02T18:30:30Z,1,,2.0,,"FIT Library",GPLv3,"Theme for Archaic Bannerstone Project built on Twitter Bootstrap 4",,,,,
basic,https://github.com/JonathanReeve/theme-basic2,,2013-08-07T18:10:37Z,2013-12-22T08:46:49Z,1.3,,1.3-dev,1.3-dev,Unknown,GPL,"Omeka basic theme.",basic,,,,
"BC Exhibit",https://github.com/BCDigSchol/exhibits-omeka-theme,,2017-11-22T00:07:00Z,2018-01-31T14:50:23Z,1.0.0,,2.0,,"Ben Florin",GPLv3,"Based on Omeka Starter Theme. Style and functionality inspired by Utah State University","b&w, minimal, skeleton, black, white, bootstrap",,https://github.com/BCDigSchol,,
"BD CdL",https://github.com/egonzalez-cdl/bdcdl2020,,2020-06-15T09:25:22Z,2020-06-17T09:24:22Z,0.3.6,,,,"Eduard Gonzalez",,"Plantilla per la Biblioteca Digital del Centre de Lectura de Reus",,,,,
"BECKER CUSTOM",https://github.com/BCDigSchol/becker-omeka-theme,,2017-09-14T16:45:40Z,2021-01-21T19:45:57Z,1.0,,2.5,2.5,"Roy Rosenzweig Center for History and New Media",GPLv3,"Image-oriented theme for Omeka. This theme does not support nested top navigation..",,,http://github.com/omeka/theme-centerrow/wiki,,
beeps,https://github.com/ui-libraries/beeps,,2014-05-28T19:46:57Z,2020-04-01T17:55:18Z,2.1.3,,2.0,,"Digital Research & Publishing",GPLv3,"theme for Van Allen Exhibit",,,,,
"Beller Exhibition",https://github.com/fitnycdigitalinitiatives/BellerExhibit,,2020-11-13T21:27:33Z,2020-12-15T20:42:39Z,1.0,,2.0,,"Fashion Institute of Technology",,"Theme for Beller Exhibition based on Bootstrap",,,,,
Berlin(PedagogyandPower),https://github.com/swat-ds/pedagogy-and-power-theme,,2019-01-03T17:34:26Z,2020-12-17T21:16:39Z,2.6,,2.5,,"Roy Rosenzweig Center for History and New Media",GPLv3,"Abstraction of the Making the History of 1989 theme. -- extended for Pedagogy and Power site, Swarthmore College",,,http://omeka.org/forums/forum/themes-and-public-display,,
Berlin+,https://github.com/swat-ds/bl1969-omeka-theme,,2015-01-08T17:16:03Z,2020-12-17T21:17:02Z,2.2,,2.2,,"Roy Rosenzweig Center for History and New Media / CSS extended by Swarthmore Library DS",GPLv3,"Abstraction of the Making the History of 1989 theme -- extended for Black Liberation 1969 Archive, Swarthmore College.",,,http://omeka.org/forums/forum/themes-and-public-display,,
Berlin-Cliotropic,https://github.com/cliotropic/berlin-cliotropic,,2011-01-20T01:04:48Z,2012-12-17T19:13:38Z,1.3,,1.3,1.3,"Shane Landrum, Ken Albers & Jeremy Boggs",GPL,"Customization of Albers & Boggs' Berlin theme for cliotropic.org.","minimal, modern, white, blue, orange, sans-serif",,,,
Berlin,https://github.com/kkeramidas/Theatre-Image-Omeka-Theme-Development,,2012-08-16T15:44:36Z,2013-09-30T13:25:15Z,1.3,,1.3,1.3,"Ken Albers & Jeremy Boggs",GPL,"Abstraction of the Making the History of 1989 theme.","minimal, modern, white, blue, orange, sans-serif",,http://omeka.org/forums/forum/plugins,,
Berlin,https://github.com/libmanuk/NKAA,,2017-02-08T22:59:19Z,2017-02-09T01:10:51Z,2.3.1,,2.3,,"Roy Rosenzweig Center for History and New Media",GPLv3,"Abstraction of the Making the History of 1989 theme.",,,http://omeka.org/forums/forum/themes-and-public-display,,
Berlin,https://github.com/omeka/theme-berlin,,2011-07-06T16:29:51Z,2022-01-24T20:20:02Z,2.7.2,2.4,3.0,,"Omeka Team",GPLv3,"Abstraction of the Making the History of 1989 theme.",,,https://omeka.org/forums/forum/themes-and-public-display,,https://github.com/omeka/theme-berlin/releases/download/v2.7.2/theme-berlin-v2.7.2.zip
BGSU,https://github.com/BGSU-LITS/omeka-theme-bgsu,,2015-09-16T20:07:42Z,2021-02-08T16:34:13Z,1.0,,2.3,,"Bowling Green State University Libraries",MIT,"An Omeka theme for various installations at BGSU.",,,http://github.com/bgsu-lits/omeka-theme-bgsu,,
"BGSU Template",https://github.com/BGSU-LITS/omeka-theme-bgsu-template,,2019-01-15T13:34:59Z,2022-02-15T21:58:22Z,1.1,,2.6,,"Bowling Green State University Libraries",MIT,"An Omeka theme using the University Libraries at BGSU template.",,,http://github.com/bgsu-lits/omeka-theme-bgsu-template,,
"Big Picture - VMA12",https://github.com/kunikla/bigpicture-vma,,2018-10-04T19:34:49Z,2018-10-15T17:44:07Z,1.2-special,,2.5,,"Roy Rosenzweig Center for History and New Media",GPLv3,"An image-centric theme geared towards art historians and students.","serif, image-heavy",,http://github.com/omeka/theme-bigpicture,,
"Big Picture",https://github.com/omeka/theme-bigpicture,,2017-01-12T07:26:45Z,2022-02-04T20:51:04Z,1.5.3,,2.8,,"Omeka Team",GPLv3,"An image-centric theme geared towards art historians and students.","sans-serif, image-heavy",,http://github.com/omeka/theme-bigpicture,,https://github.com/omeka/theme-bigpicture/releases/download/v1.5.3/theme-bigpicture-v1.5.3.zip
"Big Picture UCAH Dev",https://github.com/wludh/exhibits-ucah,,2019-05-15T15:43:25Z,2019-05-30T15:10:12Z,1.2,,2.5,,"Roy Rosenzweig Center for History and New Media and Mackenzie Brooks",GPLv3,"An image-centric theme geared towards art historians and students.","serif, image-heavy",,http://github.com/omeka/theme-bigpicture,,
BigStuff,https://github.com/charvolant/bigstuff,,2015-12-19T11:50:46Z,2019-05-15T19:02:17Z,1.0,1.0,2.3,,"Doug Palmer",GPLv3,"Theme for use with conference papers, based on Berlin.",,,http://github.org/charvolant/bigstuff/issues,,https://github.com/charvolant/bigstuff/releases/download/v1.1/bigstuff.zip
Boldly,https://github.com/waynegraham/boldly-omeka-theme,,2011-04-13T19:56:58Z,2018-02-13T17:53:32Z,1.1,,1.3,1.4-dev,"Scholars' Lab",GPL,"Omeka port of the Boldly theme by site5. See http://wordpress.site5.net/boldy/",portfolio,,,,
Boop,https://github.com/crjacobs1/boop,,2014-10-20T17:04:08Z,2014-10-20T18:17:40Z,2.2,,2.2,,Cassie,GPLv3,"Look, I can make a theme!","black, white, serif",,http://omeka.org/forums/forum/themes-and-public-display,,
"Bootstrap from Twitter for Omeka",https://github.com/tomadams/omeka-theme-bootstrap,,2014-08-04T14:01:59Z,2018-11-11T13:30:15Z,2.1,,2.0,2.1.4,"Tom Adams",GPLv3,"Bootstrap 3.2 for Omeka 2.1. Provides a painless start to customizing your cool look. Well deserved attribution: Designed and built with all the love in the world @twitter by @mdo and @fat.  Code licensed under the Apache License v2.0. Documentation licensed under CC BY 3.0.  Icons from Glyphicons Free, licensed under CC BY 3.0.",,,http://omeka.org/forums/forum/themes-and-public-display,,
Bootstrap,https://github.com/jeremymcwilliams/omeka-bootstrap4,,2019-04-19T21:33:11Z,2019-04-19T21:34:50Z,2.2.1,,2.2.2,,"Daniel Berthereau (based on a work of Garrick S. Bodine, Amanda Regan) and Brendo Kozlowski","GPL v3","A grid-based theme based on the Twitter Bootstrap framework (http://twitter.github.com/bootstrap). Based on the Omeka Boostrap theme by Garrick S. Bodine for https://mbda.berry.edu, updated by Daniel Berthereau, by Amanda Regan for https://www.wearinggayhistory.com, and by Brendon Kozlowski for Saratoga Library.","grid, bootstrap, responsive",,https://github.com/Daniel-KM/Omeka-theme-Bootstrap/issues,,
"Bootstrap UNC",https://github.com/Baki-Projesi/baki-omeka-theme,,2017-04-05T20:26:54Z,2017-06-21T15:00:26Z,1.1,,2.0,,"UNC Libraries",GPLv3,"A starter Omeka theme, built for Omeka v2.2.2, featuring Twitter Bootstrap v3.3.2.","b&w, minimal, skeleton, black, white, bootstrap",,http://library.unc.edu,,
"Bowdoin Digital Clip Archive",https://github.com/bowdoincollege/clips-omeka-theme,,2016-09-01T14:45:34Z,2019-05-23T16:53:32Z,2.0.2,,2.2,,"Andrew Currier, Stephen Houser",GPLv3,"Omeka theme for the Bowdoin Digital Clip Archive.","black, white, serif",,http://omeka.org/forums/forum/themes-and-public-display,,
Bracero,https://github.com/mebrett/theme-bracero,,2021-08-05T15:17:29Z,2021-08-06T15:28:53Z,2.5,,2.8,,"Megan Brett, RRCHNM",GPLv3,"Modification of Santa Fe for use on an updated Bracero History Archive.",,,https://omeka.org/forums/forum/themes-and-public-display,,
Bucket,https://github.com/kimisgold/theme-bucket,,2012-10-09T20:15:44Z,2014-01-04T10:09:57Z,1.0-dev,,2.0-dev,,"Kim Nguyen and Jeremy Boggs",,,,,http://github.com/kimisgold/theme-bucket,,
"Burke Library",https://github.com/fcd1/burke,,2014-01-13T22:31:38Z,2015-12-02T16:32:01Z,2,,2,2,"Joanna DiPasquale, Fred Duby",GPL,"Square, pink, gray","minimal, modern, square, pink, gray, columbia, sans-serif",,,,
"Butler 75",https://github.com/fcd1/butler75,,2014-01-14T16:21:59Z,2015-12-02T16:59:06Z,2.0,,2.0,2.0,"Joanna DiPasquale, Fred Duby",GPL,"For the Butler 75 Exhibition in 2009-2010","minimal, modern, blue, yellow, columbia, sans-serif",,,,
"Center Row",https://github.com/omeka/theme-centerrow,,2016-05-13T19:39:52Z,2021-11-23T20:56:53Z,1.6,1.0,3.0,3.0,"Omeka Team",GPLv3,"Image-oriented theme for Omeka. This theme does not support nested top navigation.",,,https://github.com/omeka/theme-centerrow/wiki,,https://github.com/omeka/theme-centerrow/releases/download/v1.5.3/theme-centerrow-v1.5.3.zip
"Charlottesville Rally",https://github.com/scholarslab/cville_rally_theme,,2017-08-21T12:05:33Z,2022-02-25T02:08:34Z,0.0.1,,2.5,2.5,"Scholars' Lab","Apache 2.0","Theme for Charlottesville Rally Archive.",library,,,,
"China Local 2",https://github.com/Harvard-ATG/ChinaLocal-Omeka-Theme,,2016-04-27T17:15:52Z,2016-05-24T19:00:22Z,2.0,,2.0-dev,,"Bill Barthelmy",GPL,"China Local 2 is based on Kate Lomax's Omeka Foundation, a grid-based starter theme using the Zurb Foundation CSS framework","grid, minimalist, white, foundation, starter",,https://github.com/katel/omeka-foundation/issues,,
"Civil Rights 1960-1966",https://github.com/swat-ds/theme-foundation-ecr,,2021-03-10T19:31:17Z,2021-07-28T18:59:55Z,1.0.1,,2.5,,"ds @ swarthmore",GPLv3,"Child ZURB Foundation theme for Civil Rights 1960-1966 project.",,,https://omeka.org/forums/forum/themes-and-public-display,,
"Clew Two",https://github.com/wludh/clew-theme-2,,2020-01-26T23:41:36Z,2020-01-26T23:41:53Z,1.1.1,,2.0,,"Mary Catherine Greenleaf, Mackenzie Brooks",GPLv3,"An Omeka theme for the Institute for Clew Studies, built for Omeka v2.2.2, featuring Twitter Boostrap v3.3.2.","b&w, minimal, skeleton, black, white, bootstrap",,https://github.com/InteractiveMechanics,,
Communities,https://github.com/sashafr/communities-theme,,2017-11-17T15:52:14Z,2021-05-11T05:10:37Z,2.3,,2.5,,"Penn Libraries Digital Scholarship Team",,"Designed for community oral history projects","lines, minimal, architectural, oral history",,https://github.com/upenndigitalscholarship/communities-theme/issues,,
"Connecting the Nation custom",https://github.com/HeritageoftheAir/aviation-custom,,2017-11-28T01:01:34Z,2018-11-11T13:51:05Z,1.1,,2.0,,"Mitchell Whitelaw",GPLv3,,"aviation, custom",,http://mtchl.net,,
"Connolly Custom",https://github.com/BCDigSchol/connolly-omeka-theme,,2016-07-22T17:42:25Z,2021-06-30T19:31:56Z,2.3,,2.3,,"Roy Rosenzweig Center for History and New Media",GPLv3,"Edit of Berlin theme",,,http://omeka.org/forums/forum/themes-and-public-display,,
Consortium,https://github.com/ArdenKirkland/consortium,,2017-09-07T00:22:22Z,2017-10-25T21:45:20Z,2.4,,2.5,,"Arden Kirkland",GPLv3,"A responsive theme based on Seasons, with a configuration option to switch style sheets for different color schemes for different exhibits and consortium members.",,,http://omeka.org/forums/forum/themes-and-public-display,,
CRIA,https://github.com/villaitatti/cria,,2016-10-10T11:58:54Z,2017-10-06T09:59:19Z,2.0,,2.0-dev,,"Lukas Klic, Andrea Caselli",GPL,"A grid-based starter theme using the Zurb Foundation CSS framework","grid, minimalist, white, foundation, starter",,https://github.com/katel/omeka-foundation/issues,,
"CUL General",https://github.com/fcd1/cul-general,,2014-01-15T17:22:55Z,2017-02-08T18:24:01Z,2.0,,2.0,,"Stuart Marquis, Fred Duby",GPLv3,"Configurable general-purpose theme","Columbia configurable",,http://www.columbia.edu,,
"CUL Show Collection",https://github.com/fcd1/cul-show-collection,,2015-02-23T18:35:08Z,2015-03-30T21:53:02Z,2.0,,2.0,,"Fred Duby",GPLv3,"Simple theme to display items in a collection. No navigation.","Columbia show collection",,http://www.columbia.edu,,
"Curatescape Classic",https://github.com/CPHDH/theme-curatescape,,2013-04-15T18:04:11Z,2021-12-15T18:06:19Z,3.4.6,,2.1,3.0.1,"Center for Public History + Digital Humanities",GPL,"Theme for Curatescape projects. Requires additional plugins.","Curatescape, mobile-first, responsive, app, map, tour, story",,http://forum.curatescape.org,master/curatescape/theme.ini,https://github.com/CPHDH/theme-curatescape/releases/download/3.4.6/curatescape.zip
Customeka,https://github.com/JonathanReeve/theme-customeka,,2012-08-13T20:14:33Z,2017-05-16T00:09:34Z,2.2,,2.2,,"Jonathan Reeve",GPLv3,"A highly customizable theme based on Seasons. Customize your theme by changing the fonts, text sizes, colors, background images, and more. Fit more items into your Browse Items page by optionally viewing it as a grid.","customize, custom, seasons",,http://jonreeve.com,,
Dada,https://github.com/ui-libraries/dada,,2017-01-09T19:18:59Z,2017-01-13T20:55:18Z,2.2,,2.2,,"Digital Scholarship & Publishing Studio",GPLv3,"The International Dada Archive theme",,,,,
Dark,https://github.com/omeka/theme-dark,,2011-07-06T16:32:26Z,2014-03-29T10:02:54Z,1.3,,1.5,,"Roy Rosenzweig Center for History and New Media",GPLv3,"A theme in shades of gray and black.",,,http://omeka.org/forums/forum/themes-and-public-display,,
DBVa,https://github.com/LibraryofVA/omeka-themes,,2014-06-30T13:19:42Z,2018-11-13T15:36:22Z,1.0,,2.2,,"Library of Virginia",GPLv3,"A theme developed for use with the Library of Virginia's Document Bank of Virginia. Theme is built upon the Roy Rosenzweig Center for History and New Media Season Theme version 2.2.1.",lva,,https://github.com/LibraryofVA/omeka-themes,master/dbva/theme.ini,
Deco,https://github.com/themattscott/Deco,,2012-03-22T23:23:02Z,2015-04-14T14:10:47Z,0.9.6.4,,1.3,1.4,E.Bell,GPL,"Configurable theme with featured image gallery (Awkward Showcase) on homepage and built-in lightbox (FancyBox) on items/show pages, plus lots of other configurable theme options, including custom homepage text, switchable stylesheets, and more. Also includes some basic theme styling for the Exhibit Builder and MyOmeka plugins, as well as handy inclusion of DocsViewer template code.  Based loosely on Berlin theme by Jeremy Boggs and Ken Albers.","clean, sans-serif, theme options, configurable",,,master/deco/theme.ini,
"DH @ Harvard for China Local",https://github.com/bilbe/chinalocal-omeka-theme,,2017-01-31T20:16:45Z,2018-11-13T05:32:21Z,2.3,,2.3,,"DH @ Harvard for China Local",GPLv3,"Based on the Berlin theme from Roy Rosenzweig Center for History and New Media.",,,http://omeka.org/forums/forum/themes-and-public-display,,
"DH @ Harvard",https://github.com/jaguillette/hvd-dh-omeka-theme,,2016-03-24T18:43:34Z,2021-09-10T18:41:54Z,2.3,,2.3,,"DH @ Harvard",GPLv3,"Based on the Berlin theme from Roy Rosenzweig Center for History and New Media.",,,http://omeka.org/forums/forum/themes-and-public-display,,https://github.com/jaguillette/hvd-dh-omeka-theme/releases/download/v1.0/hvd-dh-omeka-theme-v1.0.zip
"Digital Black Girls",https://github.com/eam5/digitalblackgirls,,2021-08-24T22:37:39Z,2021-09-30T22:39:26Z,1.0,,2.8,,"Digital Black Girls",GPLv3,"A custom theme for the Digital Black Girls Archive","sans-serif, image-heavy",,,,
"Digital Chicago",https://github.com/chnm/digital-chicago-omeka-theme-OLD,,2017-05-04T19:42:43Z,2022-02-21T19:08:22Z,1.0,,2.5,,"Roy Rosenzweig Center for History and New Media",GPLv3,"Digital Chicago",,,,,
"Digital Collections",https://github.com/fcd1/digital,,2014-01-13T22:50:42Z,2015-12-02T19:11:58Z,2,,2,2,"Joanna DiPasquale, Fred Duby",GPL,"Square, featured home page, brown","square, featured home page, brown",,,,
"Digital Gallery",https://github.com/BGSU-LITS/Digital-Gallery-Theme,,2013-01-25T15:48:14Z,2013-01-25T21:22:32Z,0.1.0,,2.0,,"Bowling Green State University Libraries",MIT,"Digital Gallery theme for Omeka 2.0","orange, bgsu",,https://github.com/BGSU-LITS/Digital-Gallery-Theme/issues,,
Directive,https://github.com/hcgriggs/directive,,2016-11-14T00:04:39Z,2019-02-20T21:49:12Z,1,,2.0,,"HTML5up + @hcgriggs","Creative Commons","a beautiful responsive HTML5 theme optimized for Omeka","minimal, skeleton, skel",,https://github.com/,,
DIYH,https://github.com/ui-libraries/diyh,,2014-06-02T21:56:52Z,2020-05-31T15:58:25Z,2.1.3,,2.0,,"Digital Research & Publishing",GPLv3,"DIYH main theme for Omeka 2",,,,,
"Dramatic Museum Realia",https://github.com/fcd1/realia,,2014-01-13T23:10:45Z,2015-12-15T22:49:33Z,2,,2,2,"Joanna DiPasquale, Joanna DiPasquale",GPL,"Square, featured home page, brown","square, featured home page, brown",,,,
DS,https://github.com/swat-ds/ds-omeka-theme,,2020-05-06T19:52:23Z,2020-05-06T19:54:38Z,1.4.2,,2.5,,"DS @ Swat",GPLv3,"Fork of Omeka Team Big Picture Theme for Digital Scholarship @ Swarthmore College","sans-serif, image-heavy",,http://github.com/swat-ds/ds-omeka-theme,,
eba_omeka_theme,https://github.com/eba-diary/eba_omeka_theme,,2015-02-28T01:23:14Z,2015-06-01T03:22:30Z,2.1.3,,2.0,,"Roy Rosenzweig Center for History and New Media",GPLv3,"Modified Berlin Theme which is an Abstraction of the Making the History of 1989 theme.",,,http://omeka.org/forums/forum/themes-and-public-display,,
eba_omeka_theme_v3,https://github.com/eba-diary/eba_omeka_theme_v3,,2016-04-08T21:07:47Z,2016-06-01T16:56:11Z,3,,2.2,,,GPLv3,"Modern responsive Omeka theme based on Berlin and Avantgarde.",,,,,
"ECR Berlin Child",https://github.com/swat-ds/ecr-theme,,2018-12-05T19:42:59Z,2019-05-30T19:53:46Z,2.6,,2.5,,"Guinevere Mesh, Rebecca Regan, and Swarthmore College SPEED 2018",GPLv3,"Berlin child theme for the Swarthmore Student Activism website.",,,http://omeka.org/forums/forum/themes-and-public-display,,
"EHRI Editions",https://github.com/EHRI/ehri-editions-theme,,2018-03-13T13:40:01Z,2022-02-11T00:19:26Z,1.1.1,,2.5,,"Stepan Opekar",EUPL-1.2,"Omeka theme for EHRI digital edition sites",,,https://github.com/EHRI/ehri-editions-theme/issues,,https://github.com/EHRI/ehri-editions-theme/releases/download/1.1.1/ehri-editions-theme-1.1.1.zip
"El Jaguar Colombiano",https://github.com/badac/jaguar-colombiano,,2018-01-26T19:09:04Z,2018-09-13T20:49:07Z,1.1,,2.3,2.5,"Camilo Martinez for BADAC",GPLv3,"Theme for the Beatriz Gonzalez Aranda Collection by BADAC. Based on The Daily theme by Roy Rosenzweig Center for History and New Media",,,http://github.com/omeka/theme-thedaily/wiki,,
Emancipation,https://github.com/LibraryofVA/omeka-themes/,,2014-06-30T13:19:42Z,2018-11-13T15:36:22Z,1.0.0,,2.0,,"Jason Roma",GPLv3,"Thanks Roy theme altered for use with Library of Virginia online exhibition, Emancipation","black, white, serif",,,master/emancipation/theme.ini,
Emiglio,https://github.com/maki80/omeka-archivocontralapared,,2017-03-08T11:03:52Z,2017-03-09T09:18:57Z,2.1.1,,2.3,2.3,"Roy Rosenzweig Center for History and New Media",GPLv3,"Named after our favorite robot. A simple, minimal theme with reds and greens.",,,http://omeka.org/forums/forum/themes-and-public-display,,
Emiglio,https://github.com/omeka/theme-emiglio,,2011-07-06T16:58:48Z,2021-09-29T14:00:09Z,2.4.2,,3.0,3.0,"Omeka Team",GPLv3,"Named after our favorite robot. A simple, minimal theme with reds and greens.",,,https://omeka.org/forums/forum/themes-and-public-display,,https://github.com/omeka/theme-emiglio/releases/download/v2.4.2/theme-emiglio-v2.4.2.zip
EmiglioRemix,https://github.com/annamichelle/EmiglioRemix,,2014-10-09T21:41:06Z,2015-06-09T17:29:54Z,1.0.0,,2.2,2.2,"Anna Michelle Martinez-Montavon",GPLv3,"An Omeka theme customized for UWM Libraries Special Collections.",,,https://github.com/annamichelle/EmiglioRemix/issues/new,,
ESpace,https://github.com/okfn/omeka-theme-espace,,2015-04-21T09:51:35Z,2015-09-16T14:16:19Z,0.0.2,,2.2,,"Sam Smith",GPLv3,"Theme for Europeana Space.","open knowledge, europeana, espace",,https://github.com/okfn/omeka-theme-espace/issues,,
"Expanding Archive",https://github.com/Orpheusp/denison-expanding-archives-omeka-theme,,2015-09-11T21:36:45Z,2019-10-17T08:13:30Z,0.5,,2.3,,"Orpheus Peng",GPL,"The theme used in the website of Denison University Expanding Archive Project.","minimalism, serif, red, responsive",,,,
"Experimental Beijing",https://github.com/zploskey/omeka-theme-experimental-beijing,,2015-07-17T01:41:03Z,2018-06-20T23:04:56Z,2.3.1,,2.3,,"Zach Ploskey",GPLv3,"A theme for Experimental Beijing, based on Minimalist.","lines, minimal, architectural, mobile-first, sans-serif",,https://github.com/zploskey/omeka-theme-experimental-beijing/issues,,
Falmouth,https://github.com/scholarslab/falmouth-omeka-theme,,2019-04-23T15:28:40Z,2019-04-23T15:30:13Z,1.0,,1.3,1.3,"Scholars Lab",apache2,"Omeka theme for the Falmouth - Architecture and History collection","minimal, architecutre, html5",,,,
Fichero,https://github.com/jairomelo/Omeka-theme-fichero-,,2017-08-02T21:48:36Z,2018-12-12T20:06:17Z,2.4,,2.5,,"Roy Rosenzweig Center for History and New Media",GPLv3,"Sólo una adaptación del tema Berlin para mi fichero.",,,http://omeka.org/forums/forum/themes-and-public-display,,
Flex,https://github.com/Gilles-Lengy/omeka-theme-flex-classic,,2022-02-05T16:17:17Z,2022-02-24T21:17:36Z,0.0.1,,3.0.1,,"Gilles Lengy",GPLv3,"A Flexible theme for Omeka C",,,https://github.com/Gilles-Lengy/omeka-theme-flex-classic/issues,,
Flow,https://github.com/sashafr/flow,,2018-06-20T16:36:34Z,2021-05-11T05:10:11Z,1.1,,2.5,,"Penn Libraries Digital Scholarship Team",,"Flow is a colorful Omeka theme that adds a variety of unique display elements designed for oral histories and tours",,,https://github.com/upenndigitalscholarship/flow/issues,,
"Forbes Library",https://github.com/forbeslibrary/omeka.theme.forbes-library,,2014-11-14T19:47:58Z,2019-02-28T19:50:59Z,2.9,,2.2.2,,"Forbes Library",GPLv2,"Designed to complement the Forbes Library website.",,,https://github.com/forbeslibrary/omeka.theme.forbes-library/issues,,https://github.com/forbeslibrary/omeka.theme.forbes-library/releases/download/v2.9/ForbesLibrary.zip
"for GEScholars",https://github.com/George-Eliot-Archive/gescholars_theme,,2019-07-07T05:26:19Z,2019-07-14T22:05:25Z,2.6,,2.5,,"George Eliot Archive",,"Theme for GEScholars",,,http://omeka.org/forums/forum/themes-and-public-display,,
Foundation,https://github.com/kimisgold/foundation-classic,,2019-06-14T16:18:28Z,2020-07-03T20:24:22Z,1.2.1,,2.8,,"Omeka Team",GPLv3,"A starter theme using the ZURB Foundation toolkit.",,,https://omeka.org/forums/forum/themes-and-public-display,,
"From Scratch",https://github.com/baileyspace/KS-Omeka-Theme,,2012-10-27T00:00:43Z,2013-10-02T12:58:09Z,1.5,,1.5,1.5,"Roy Rosenzweig Center for History and New Media",GPLv3,"A styleless, barebones theme for designers who want to start from scratch.",,,http://omeka.org/forums/forum/themes-and-public-display,,
"Gail 2.0",https://github.com/UCSCLibrary/gail-theme,,2017-02-10T18:16:39Z,2017-08-17T19:05:11Z,2.1,,,,"The Gail Project Web Team",GPLv3,"Theme for the Gail Project website. Bootstrap 3.2 for Omeka 2.1. Well deserved attribution: Designed and built with all the love in the world @twitter by @mdo and @fat.  Code licensed under the Apache License v2.0. Documentation licensed under CC BY 3.0.  Icons from Glyphicons Free, licensed under CC BY 3.0.",,,,,
GDAO,https://github.com/UCSCLibrary/gdao-theme,,2015-03-11T18:11:36Z,2021-10-25T20:18:43Z,2.0,,2.0,2.2,"Bryn Kanar, Kevin S. Clarke, Ned Henry",GPL,"The Grateful Dead Archive theme","grateful dead",,,,
"Gerould Archives",https://github.com/kkeramidas/Gerould-Archives-Omeka-Dev,,2012-08-27T19:39:52Z,2014-01-19T17:59:36Z,1.5,,1.5,1.5,"Kimon Keramidas",GPLv3,"A Framework for The Daniel Gerould Archives site built from scratch.",,,,,
"Gerould Tribute Foundation",https://github.com/kkeramidas/Gerould-Tribute-Omeka-Theme-Development,,2012-08-16T15:43:15Z,2013-10-22T11:21:09Z,1,,1.3,,"Kimon Keramidas",GPL,"Gerould Tribute Site based on Zurb Foudnation","grid, minimalist, white",,,,
GLAM,https://github.com/okfn/omeka-theme-glam,,2015-03-03T17:03:17Z,2018-11-13T15:43:58Z,0.0.3,,2.2,,"Sam Smith",GPLv3,"Theme for OpenGLAM collections.","open knowledge, openglam",,https://github.com/okfn/omeka-theme-glam/issues,,
"Global Health Chronicles",https://github.com/ecds-archives/GHC-Omeka-Theme,,2012-02-21T16:41:44Z,2017-08-03T14:56:53Z,1.0,,1.4,1.4,"Scott Turnbull",GPL,"An implementation of the Global Health Chronicles theme in Omeka.",custom,,http://omeka.org/forums/forum/plugins,,
Greenlock,https://github.com/ameyer24/greenlock,,2016-06-13T16:58:44Z,2016-06-13T19:12:19Z,2.2,,2.3,,"Roy Rosenzweig Center for History and New Media",GPLv3,"Clean lines, architectural.","lines, minimal, architectural, purple, white, mobile-first, sans-serif",,http://omeka.org/forums/forum/themes-and-public-display,,
Griddy,https://github.com/omeka/theme-griddy,,2011-08-05T14:48:19Z,2014-01-09T00:04:12Z,1.1,,1.0,1.4,"Kim Nguyen",GPL,"A theme using the baseline and 960 grids, and excessive Helvetica.","helvetica, grid",,http://github.com/omeka/theme-griddy/issues,,
"Grinnell Avantgarde",https://github.com/micongrin/theme_GrinnellAvantegarde,,2015-06-30T16:33:57Z,2015-06-30T16:51:26Z,1,,2.2,,"Edward M. @ Emedara Studio : Adapted by Grinnell College",GPLv3,"Modern responsive theme based on Berlin.",,,https://github.com/Edward-M/omeka-avantgarde/issues,,
Grinnell,https://github.com/GrinnellCollegeLibraries/OmekaGrinnellTheme,,2014-10-27T22:22:43Z,2014-10-27T22:33:10Z,2.1.6,,2.0,,"Grinnell College Libraries",GPLv3,"The default theme for exhibitions created within Grinnell College.",,,,,
